volume,vw,open,close,high,low,timestamp,transactions
45417600.0,102.2064,102.53,101.96,102.8,101.55,2003-09-10 04:00:00,25951
38038300.0,102.3182,102.1,102.26,102.76,101.84,2003-09-11 04:00:00,22580
41159600.0,101.9165,101.91,102.45,102.64,101.35,2003-09-12 04:00:00,26091
20710600.0,102.2676,102.52,102.09,102.63,101.95,2003-09-15 04:00:00,15670
37103300.0,103.0466,102.232,103.58,103.64,102.17,2003-09-16 04:00:00,19074
31824300.0,103.4136,103.48,103.38,103.785,103.05,2003-09-17 04:00:00,20129
29996600.0,104.1276,103.4,104.6,104.7,103.17,2003-09-18 04:00:00,20373
34369000.0,103.863,104.27,103.67,104.6,103.4,2003-09-19 04:00:00,18855
36454300.0,102.589,102.85,102.55,102.96,102.03,2003-09-22 04:00:00,21865
32458700.0,102.7945,102.59,102.94,103.29,102.36,2003-09-23 04:00:00,22413
41440100.0,101.8722,103.118,101.11,103.22,101.07,2003-09-24 04:00:00,29305
51878800.0,101.1598,101.41,100.28,101.88,100.2,2003-09-25 04:00:00,36651
42641300.0,100.2584,100.44,99.95,100.66,99.846,2003-09-26 04:00:00,32238
36498400.0,100.4987,100.3,100.93,100.99,99.79,2003-09-29 04:00:00,28513
69743200.0,99.9383,100.48,99.95,100.76,99.25,2003-09-30 04:00:00,49863
65078900.0,101.2723,100.24,102.08,102.18,100.2,2003-10-01 04:00:00,42905
44505400.0,102.1563,101.93,102.45,102.56,101.63,2003-10-02 04:00:00,30458
48319400.0,103.7127,103.67,103.39,104.28,103.08,2003-10-03 04:00:00,34435
20212600.0,103.5422,103.482,103.86,103.99,103.2,2003-10-06 04:00:00,17075
42228400.0,103.6151,103.26,104.26,104.31,102.91,2003-10-07 04:00:00,29573
30824800.0,103.8667,104.33,104.0,104.39,103.41,2003-10-08 04:00:00,27085
38557600.0,104.5997,104.88,104.28,105.22,103.83,2003-10-09 04:00:00,25537
22425800.0,104.204,104.27,104.57,104.6,103.91,2003-10-10 04:00:00,19725
23728700.0,104.8843,104.715,104.9,105.29,104.51,2003-10-13 04:00:00,16687
38470800.0,104.8427,104.8,105.27,105.43,104.36,2003-10-14 04:00:00,19463
39813900.0,105.1769,105.86,104.99,105.89,104.64,2003-10-15 04:00:00,23852
32425400.0,105.1514,104.68,105.41,105.73,104.65,2003-10-16 04:00:00,24352
32005400.0,104.6085,105.47,104.26,105.63,103.98,2003-10-17 04:00:00,23506
27736700.0,104.4285,104.447,105.04,105.04,103.94,2003-10-20 04:00:00,17905
26658900.0,104.9889,104.82,104.86,105.28,104.6,2003-10-21 04:00:00,24358
33999000.0,103.6297,104.03,103.54,104.19,103.19,2003-10-22 04:00:00,29916
44982000.0,103.4031,102.89,103.35,103.95,102.84,2003-10-23 04:00:00,32127
50688100.0,102.7454,102.83,103.58,103.58,102.18,2003-10-24 04:00:00,26121
32309400.0,103.7198,103.74,103.63,104.18,103.27,2003-10-27 05:00:00,25754
34719700.0,104.3275,103.98,105.04,105.15,103.82,2003-10-28 05:00:00,25175
29847900.0,105.0227,104.77,105.18,105.43,103.87,2003-10-29 05:00:00,22230
38607000.0,105.2598,105.79,105.4,105.97,104.8,2003-10-30 05:00:00,24819
25765000.0,105.4832,105.4,105.3,105.74,105.22,2003-10-31 05:00:00,17544
36751697.0,106.3143,105.75,105.99,106.61,105.71,2003-11-03 05:00:00,23018
31243465.0,105.8869,105.99,105.76,106.27,105.58,2003-11-04 05:00:00,20504
33498500.0,105.438,105.5,105.84,105.97,104.9,2003-11-05 05:00:00,18823
28232300.0,105.7199,105.6,106.4,106.44,105.1,2003-11-06 05:00:00,21281
31519400.0,106.2275,106.64,105.66,106.72,105.57,2003-11-07 05:00:00,21760
25364400.0,105.4193,105.74,105.18,105.84,105.01,2003-11-10 05:00:00,19620
26269400.0,105.057,105.09,105.15,105.33,104.8,2003-11-11 05:00:00,18010
27998100.0,105.8889,105.23,106.33,106.47,105.16,2003-11-12 05:00:00,20074
29568100.0,106.1602,106.01,106.36,106.54,105.78,2003-11-13 05:00:00,19773
48339400.0,106.0849,106.4,105.46,106.95,105.29,2003-11-14 05:00:00,25562
44237400.0,104.5597,104.91,104.93,105.14,104.04,2003-11-17 05:00:00,27766
40954700.0,104.5881,105.24,103.84,105.45,103.7,2003-11-18 05:00:00,25704
29759900.0,104.5041,104.03,104.72,105.01,103.92,2003-11-19 05:00:00,23971
53361300.0,104.4015,104.02,103.75,105.24,103.75,2003-11-20 05:00:00,31479
29880100.0,104.0382,104.24,104.21,104.33,103.62,2003-11-21 05:00:00,22534
28660000.0,105.3715,104.69,105.59,105.78,104.68,2003-11-24 05:00:00,21293
37514900.0,105.9057,105.73,105.99,106.42,105.45,2003-11-25 05:00:00,23752
33053400.0,106.0544,106.42,106.37,106.45,105.39,2003-11-26 05:00:00,26080
10507800.0,106.4498,106.28,106.45,106.66,106.201,2003-11-28 05:00:00,7705
38358700.0,107.2669,106.85,107.6,107.68,106.8,2003-12-01 05:00:00,26349
34103300.0,107.3915,107.38,107.33,107.77,107.07,2003-12-02 05:00:00,21713
38541100.0,107.6298,107.65,107.16,108.08,107.08,2003-12-03 05:00:00,24467
35890700.0,107.3375,107.17,107.6,107.72,106.94,2003-12-04 05:00:00,21749
28346500.0,107.0191,107.12,106.85,107.8,106.62,2003-12-05 05:00:00,22517
32397500.0,107.1409,106.74,107.57,107.64,106.68,2003-12-08 05:00:00,19431
42074700.0,107.2004,107.9,106.74,107.93,106.54,2003-12-09 05:00:00,26016
36749400.0,106.5917,106.77,106.73,106.98,105.98,2003-12-10 05:00:00,21909
43506700.0,107.4344,106.68,107.93,108.1,106.67,2003-12-11 05:00:00,22611
33445700.0,107.8302,107.97,108.14,108.2,106.65,2003-12-12 05:00:00,19195
37922400.0,108.4225,109.17,107.6,109.23,107.48,2003-12-15 05:00:00,30852
32626500.0,107.884,107.68,108.16,108.5,107.52,2003-12-16 05:00:00,22390
23079900.0,108.075,108.06,108.5,108.5,107.8,2003-12-17 05:00:00,16480
29659700.0,109.1934,108.55,109.72,109.73,108.39,2003-12-18 05:00:00,21864
41034200.0,108.9755,109.3,108.9,109.37,108.58,2003-12-19 05:00:00,24109
27437200.0,109.1359,108.79,109.66,109.66,108.78,2003-12-22 05:00:00,17182
24405700.0,109.6745,109.48,109.73,109.95,109.38,2003-12-23 05:00:00,15637
7946400.0,109.6592,109.52,109.62,109.88,109.43,2003-12-24 05:00:00,6354
8308400.0,109.8679,109.71,109.7,110.08,109.63,2003-12-26 05:00:00,6247
22394900.0,110.5078,110.1,111.16,111.27,110.09,2003-12-29 05:00:00,16227
19437800.0,111.1075,111.09,111.18,111.27,110.88,2003-12-30 05:00:00,13440
30338100.0,111.2363,111.22,111.28,111.52,110.84,2003-12-31 05:00:00,18930
37945400.0,111.5792,111.74,111.23,112.19,110.73,2004-01-02 05:00:00,24177
27964400.0,112.0179,111.69,112.44,112.52,111.59,2004-01-05 05:00:00,24816
20450200.0,112.3774,112.16,112.55,112.73,112.0,2004-01-06 05:00:00,19518
29904400.0,112.448,112.39,112.93,113.06,111.89,2004-01-07 05:00:00,23380
36694100.0,113.1133,113.25,113.38,113.41,112.77,2004-01-08 05:00:00,28156
53727400.0,112.788,112.83,112.39,113.5,112.27,2004-01-09 05:00:00,30583
33000900.0,112.7414,112.55,113.22,113.25,112.36,2004-01-12 05:00:00,24313
54150700.0,112.5,113.09,112.56,113.23,111.76,2004-01-13 05:00:00,25681
29744500.0,113.0869,112.76,113.5,113.66,112.67,2004-01-14 05:00:00,19831
38113700.0,113.4342,113.57,113.78,114.06,112.58,2004-01-15 05:00:00,26811
31825200.0,114.0011,114.04,114.23,114.31,113.63,2004-01-16 05:00:00,20844
29866400.0,114.1971,114.53,114.2,114.65,113.82,2004-01-20 05:00:00,21207
30590000.0,114.483,114.13,115.1,115.3,113.72,2004-01-21 05:00:00,22956
29890200.0,114.9506,115.14,114.8,115.38,114.58,2004-01-22 05:00:00,21775
49572200.0,114.5715,115.0,114.43,115.37,113.95,2004-01-23 05:00:00,22623
30473800.0,114.9824,114.39,115.87,115.93,114.39,2004-01-26 05:00:00,20390
34951500.0,115.2658,115.75,114.68,116.5,114.65,2004-01-27 05:00:00,22212
52728600.0,114.1259,114.98,113.37,115.28,112.94,2004-01-28 05:00:00,30424
59981200.0,113.2834,113.56,113.48,113.85,112.56,2004-01-29 05:00:00,34906
30969700.0,113.4153,113.52,113.48,113.72,113.09,2004-01-30 05:00:00,23126
38719000.0,113.8535,113.7,113.97,114.68,113.12,2004-02-02 05:00:00,28122
25102200.0,113.8281,113.74,113.78,114.14,113.44,2004-02-03 05:00:00,18861
39313700.0,113.2585,113.19,112.85,113.73,112.79,2004-02-04 05:00:00,29543
34866700.0,113.1683,113.17,113.18,113.54,112.78,2004-02-05 05:00:00,22787
37136600.0,114.036,113.42,114.45,114.7,113.2,2004-02-06 05:00:00,26018
24541200.0,114.5246,114.67,114.48,114.87,114.29,2004-02-09 05:00:00,19601
27927000.0,114.7029,114.28,114.85,115.14,114.26,2004-02-10 05:00:00,19428
42489800.0,115.6836,114.85,116.07,116.39,114.17,2004-02-11 05:00:00,21743
27562800.0,115.8388,115.97,115.65,116.27,115.58,2004-02-12 05:00:00,19240
43994800.0,115.4297,115.82,115.13,116.2,114.75,2004-02-13 05:00:00,23043
23036800.0,116.0995,115.85,116.17,116.43,115.77,2004-02-17 05:00:00,16453
28645200.0,115.8415,116.2,115.66,116.6,115.35,2004-02-18 05:00:00,17479
50693100.0,115.859,116.33,115.23,116.39,115.06,2004-02-19 05:00:00,19382
46444100.0,114.9755,115.48,114.88,115.5616,114.32,2004-02-20 05:00:00,22244
35022000.0,114.641,115.22,114.59,115.26,114.17,2004-02-23 05:00:00,28580
42936100.0,114.4267,114.27,114.36,114.99,113.03,2004-02-24 05:00:00,29208
30924400.0,114.766,114.46,114.87,115.06,114.32,2004-02-25 05:00:00,23013
29366700.0,114.8823,114.61,114.94,115.29,114.34,2004-02-26 05:00:00,23098
38845300.0,115.202,115.19,115.02,115.74,114.63,2004-02-27 05:00:00,26985
32529300.0,115.7618,115.43,116.16,116.34,115.25,2004-03-01 05:00:00,26181
38200900.0,115.7509,115.94,115.48,116.23,115.23,2004-03-02 05:00:00,28568
31231800.0,115.401,115.25,115.69,115.87,114.92,2004-03-03 05:00:00,29444
20986000.0,115.8588,115.72,115.99,116.1,115.52,2004-03-04 05:00:00,19477
55059400.0,116.2033,115.42,116.38,116.95,115.28,2004-03-05 05:00:00,50132
38402900.0,115.9087,116.34,114.96,116.62,114.91,2004-03-08 05:00:00,28759
39488700.0,114.7666,115.1,114.5,115.21,114.24,2004-03-09 05:00:00,38423
66927000.0,113.8511,114.72,112.58,114.77,112.56,2004-03-10 05:00:00,54016
88445000.0,112.3326,112.4,111.12,113.27,111.1,2004-03-11 05:00:00,68880
53507100.0,112.1313,111.73,112.58,112.71,111.58,2004-03-12 05:00:00,47166
56680400.0,111.5473,112.27,111.2,112.35,110.9,2004-03-15 05:00:00,57513
59470700.0,111.5782,111.78,111.79,112.06,11.7,2004-03-16 05:00:00,63774
41477800.0,112.8087,112.18,113.04,113.26,112.1,2004-03-17 05:00:00,38038
59242600.0,112.6372,112.67,113.07,113.27,111.93,2004-03-18 05:00:00,60246
